,SITE,ORIGINAL SPECIES,ORIGINAL ABUNDANCE,ORIGINAL VOUCHER,QC SPECIES,QC ABUNDANCE,Match/Not Match,Type
360,B13-9481,Spiophanes duplex,1.0,,Spiophanes duplex,1.0,No Match,
361,B13-9481,Spiophanes norrisi,1.0,,Spiophanes norrisi,1.0,No Match,
362,B13-9481,Tellina modesta,17.0,,Tellina modesta,17.0,No Match,
363,B13-9481,Tubulanus polymorphus,2.0,,Tubulanus polymorphus,1.0,No Match,Count
364,B13-9481,Volvulella panamica,1.0,,Volvulella panamica,1.0,No Match,
365,B13-9481,Westwoodilla tone,1.0,,Westwoodilla tone,1.0,No Match,
366,B13-9481,,,,Alvania compacta,1.0,No Match,ID
367,B13-9481,,,,Amphiodia digitata,3.0,No Match,ID
368,B13-9481,,,,Amphiodia sp,1.0,No Match,ID
369,B13-9481,,,,Amphiuridae,2.0,No Match,ID
370,B13-9481,,,,Chaetozone sp SD3,2.0,No Match,ID
371,B13-9481,,,,Glycera sp,2.0,No Match,ID
372,B13-9481,,,,Hinea insculpta,1.0,No Match,ID
373,B13-9481,,,,Macoma sp,3.0,No Match,ID
374,B13-9481,,,,Malmgreniella macginitiei,6.0,No Match,ID
375,B13-9481,,,,Opiura sarsi,1.0,No Match,ID
376,B13-9481,,,,Pinnotheridae,2.0,No Match,ID
377,B13-9481,,,,Podarkeopsis glabrus,1.0,No Match,ID
378,B13-9481,,,,Rutiderma sp,1.0,No Match,ID
379,B13-9481,,,,Scoloplos sp,3.0,No Match,ID
380,B13-9481,,,,Tubulanus sp A,1.0,No Match,ID
381,B13-9481,,,,Virgulariidae,1.0,No Match,ID
382,B13-9481,,,,Zygeupolia rubens,1.0,No Match,ID
