SITE,ORIGINAL SPECIES,ORIGINAL ABUNDANCE,ORIGINAL VOUCHER,Unnamed: 4,QC SPECIES,QC ABUNDANCE,Match /           Not Match,Type,Lines Involved in Resolve,Discrep Class,Resolve code,Taxa change      (Add / Remove),Abund changes (+/-),Unnamed: 14,Completed by QC officer,Unnamed: 16,Unnamed: 17,RESOLVED SPECIES,RESOLVED ABUNDANCE,Resolution Comments
B13-9481,Leitoscoloplos pugettensis,2,,,,,Not Match,ID,,,,,,,,,,,,
B13-9481,Macoma yoldiformis,3,,,,,Not Match,ID,,,,,,,,,,,,
B13-9481,Magelona berkeleyi,10,,,Magelona berkeleyi,8,Not Match,Count,,,,,,,,,,,,
B13-9481,Magelona sacculata,1,,,Magelona sacculata,2,Not Match,Count,,,,,,,,,,,,
B13-9481,Malmgreniella baschi,6,,,,,Not Match,ID,,,,,,,,,,,,
B13-9481,Mediomastus sp,24,,,Mediomastus sp,26,Not Match,Count,,,,,,,,,,,,
B13-9481,Monticellina siblina,4,,,Monticellina siblina,5,Not Match,Count,,,,,,,,,,,,
B13-9481,Oligochaeta,3,,,,,Not Match,ID,,,,,,,,,,,,
B13-9481,Pennatulacea,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9481,Poecilochaetus johnsoni,7,,,Poecilochaetus johnsoni,6,Not Match,Count,,,,,,,,,,,,
B13-9481,Rhepoxynius bicuspidatus,9,,,Rhepoxynius bicuspidatus,7,Not Match,Count,,,,,,,,,,,,
B13-9481,Rhepoxynius menziesi,3,,,Rhepoxynius menziesi,2,Not Match,Count,,,,,,,,,,,,
B13-9481,Rhepoxynius variatus,47,21,,Rhepoxynius variatus,22,Not Match,Count,,,,,,,,,,,,
B13-9481,Rutiderma rostratum,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9481,Scoloplos acmeceps,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9481,Tubulanus polymorphus,2,,,Tubulanus polymorphus,1,Not Match,Count,,,,,,,,,,,,
B13-9481,,,,,Alvania compacta,1,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Amphiodia digitata,3,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Amphiodia sp,1,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Amphiuridae,2,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Chaetozone sp SD3,2,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Glycera sp,2,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Hinea insculpta,1,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Macoma sp,3,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Malmgreniella macginitiei,6,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Opiura sarsi,1,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Pinnotheridae,2,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Podarkeopsis glabrus,1,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Rutiderma sp,1,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Scoloplos sp,3,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Tubulanus sp A,1,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Virgulariidae,1,Not Match,ID,,,,,,,,,,,,
B13-9481,,,,,Zygeupolia rubens,1,Not Match,ID,,,,,,,,,,,,
B13-9481,Aglaophamus verrilli,1,,,Aglaophamus verrilli,1,Match,,,,,,,,,,,,,
B13-9481,Ampelisca agassizi,4,,,Ampelisca agassizi,4,Match,,,,,,,,,,,,,
B13-9481,Ampelisca cristata cristata,5,,,Ampelisca cristata cristata,5,Match,,,,,,,,,,,,,
B13-9481,Amphioplus sp A,2,,,Amphioplus sp A,2,Match,,,,,,,,,,,,,
B13-9481,Aricidea (Acmira) horikoshii,2,,,Aricidea (Acmira) horikoshii,2,Match,,,,,,,,,,,,,
B13-9481,Asteropella slatteryi,3,2,,Asteropella slatteryi,1,Match,,,,,,,,,,,,,
B13-9481,Ceriantharia,1,,,Ceriantharia,1,Match,,,,,,,,,,,,,
B13-9481,Compsomyax subdiaphana,2,,,Compsomyax subdiaphana,2,Match,,,,,,,,,,,,,
B13-9481,Dialychone albocincta,1,,,Dialychone albocincta,1,Match,,,,,,,,,,,,,
B13-9481,Ensis myrae,1,1,,,,Match,,,,,,,,,,,,,
B13-9481,Euclymeninae,1,,,Euclymeninae,1,Match,,,,,,,,,,,,,
B13-9481,Euphilomedes carcharodonta,2,,,Euphilomedes carcharodonta,2,Match,,,,,,,,,,,,,
B13-9481,Exogone lourei,1,,,Exogone lourei,1,Match,,,,,,,,,,,,,
B13-9481,Foxiphalus obtusidens,1,,,Foxiphalus obtusidens,1,Match,,,,,,,,,,,,,
B13-9481,Gadila aberrans,8,,,Gadila aberrans,8,Match,,,,,,,,,,,,,
B13-9481,Gammaropsis thompsoni,1,,,Gammaropsis thompsoni,1,Match,,,,,,,,,,,,,
B13-9481,Glottidia albida,1,,,Glottidia albida,1,Match,,,,,,,,,,,,,
B13-9481,Glycera americana,1,,,Glycera americana,1,Match,,,,,,,,,,,,,
B13-9481,Glycinde armigera,1,,,Glycinde armigera,1,Match,,,,,,,,,,,,,
B13-9481,Goniada maculata,4,,,Goniada maculata,4,Match,,,,,,,,,,,,,
B13-9481,Kurtiella compressa,1,,,Kurtiella compressa,1,Match,,,,,,,,,,,,,
B13-9481,Kurtzina beta,1,,,Kurtzina beta,1,Match,,,,,,,,,,,,,
B13-9481,Leptochelia dubia Cmplx,1,,,Leptochelia dubia Cmplx,1,Match,,,,,,,,,,,,,
B13-9481,Lumbrineris japonica,1,,,Lumbrineris japonica,1,Match,,,,,,,,,,,,,
B13-9481,Monticellina cryptica,2,,,Monticellina cryptica,2,Match,,,,,,,,,,,,,
B13-9481,Nebalia daytoni,1,1,,,,Match,,,,,,,,,,,,,
B13-9481,Nephtys caecoides,2,,,Nephtys caecoides,2,Match,,,,,,,,,,,,,
B13-9481,Nephtys ferruginea,1,,,Nephtys ferruginea,1,Match,,,,,,,,,,,,,
B13-9481,Nuculana taphria,3,,,Nuculana taphria,3,Match,,,,,,,,,,,,,
B13-9481,Onuphis sp A,1,,,Onuphis sp A,1,Match,,,,,,,,,,,,,
B13-9481,Paranemertes californica,1,,,Paranemertes californica,1,Match,,,,,,,,,,,,,
B13-9481,Paraprionospio alata,1,,,Paraprionospio alata,1,Match,,,,,,,,,,,,,
B13-9481,Parvilucina tenuisculpta,1,,,Parvilucina tenuisculpta,1,Match,,,,,,,,,,,,,
B13-9481,Pectinaria californiensis,1,,,Pectinaria californiensis,1,Match,,,,,,,,,,,,,
B13-9481,Pholoe glabra,9,,,Pholoe glabra,9,Match,,,,,,,,,,,,,
B13-9481,Pilargis sp B,1,1,,,,Match,,,,,,,,,,,,,
B13-9481,Pista wui,2,,,Pista wui,2,Match,,,,,,,,,,,,,
B13-9481,Porichthys sp,1,1,,,,Match,,,,,,,,,,,,,
B13-9481,Prionospio (Minuspio) lighti,43,,,Prionospio (Minuspio) lighti,43,Match,,,,,,,,,,,,,
B13-9481,Prionospio (Prionospio) jubata,2,,,Prionospio (Prionospio) jubata,2,Match,,,,,,,,,,,,,
B13-9481,Rhepoxynius stenodes,12,,,Rhepoxynius stenodes,12,Match,,,,,,,,,,,,,
B13-9481,Sinum scopulosum,1,1,,,,Match,,,,,,,,,,,,,
B13-9481,Spiochaetopterus costarum Cmplx,7,,,Spiochaetopterus costarum Cmplx,7,Match,,,,,,,,,,,,,
B13-9481,Spiophanes duplex,1,,,Spiophanes duplex,1,Match,,,,,,,,,,,,,
B13-9481,Spiophanes norrisi,1,,,Spiophanes norrisi,1,Match,,,,,,,,,,,,,
B13-9481,Tellina modesta,17,,,Tellina modesta,17,Match,,,,,,,,,,,,,
B13-9481,Volvulella panamica,1,,,Volvulella panamica,1,Match,,,,,,,,,,,,,
B13-9481,Westwoodilla tone,1,,,Westwoodilla tone,1,Match,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Taxa Changed (Note with X),# INDs mis-ID'd (counts change),# INDs mis-counted,,,
